6870,1644467223,849063959,0
7265,1644471779,848941618,0
9222,1644473439,849064404,849057706
6197,1644477672,4445125,0
7740,1644483104,849064442,0
10013,1644487242,849064324,0
6862,1644488248,849063427,849032529
10351,1644490181,848942195,849065277
6200,1644491014,11491953,0
6565,1644491219,848908758,0
6449,1644492008,849063854,848944411
7801,1644513019,849064175,0
7840,1644514341,849064639,0
9320,1644516975,11334344,0
2565,1644525897,11386714,0
3102,1644527381,8700661,0
7725,1644554825,849057845,0
7467,1644566320,849064520,0
1050,1644566450,848966186,0
6021,1644566833,11475491,0
9188,1644570940,849064362,0
5708,1644575835,849014843,0
10285,1644581698,11491953,849065237
9647,1644589190,849064324,0
10280,1644595676,849064175,849065234
8135,1644600177,11534794,11047593
7236,1644602891,848908758,849064092
2295,1644603707,849060788,0
3566,1644605216,10266205,0
5564,1644612666,11520529,0
11556,1644616953,849064996,0
6953,1644620074,10927288,0
9807,1644623164,11291357,0
5273,1644625197,11528111,0
7298,1644626628,849064442,11487225
9036,1644627872,849063661,0
6951,1644629878,849063959,849047116
7924,1644631485,849064639,0
6032,1644634563,9910323,849064213
1078,1644634577,11520085,3498176
9779,1644643393,11250981,849065014
7642,1644644380,11401822,0
7325,1644645111,848941618,0
1237,1644645223,10402556,0
9483,1644652431,11578392,849049491
5311,1644652672,1543676,0
9600,1644653000,3572923,0
7990,1644653509,11559763,0
5766,1644654604,11352893,0
7997,1644656643,11273757,0
7618,1644657564,11417481,849062014
11383,1644659588,849058970,849065857
4005,1644665536,11270933,0
1493,1644666197,849049282,0
9031,1644667416,849056649,849063982
2630,1644668803,849032668,0
4452,1644669149,7426304,0
6444,1644669715,849058281,0
8145,1644671948,849064393,0
1384,1644671979,849019143,0
2231,1644673102,849045737,849048174
1683,1644674239,848974806,849064261
2845,1644676403,10913444,0
4370,1644677689,849045422,11593700
10196,1644677908,11172404,849065191
290,1644679166,849061323,0
3021,1644679301,11129135,7796752
2440,1644680164,11571712,0
8324,1644680400,11505709,11382210
3134,1644682847,11179076,9256799
3113,1644683520,11071129,9049602
7764,1644683542,9930009,0
2524,1644684735,849064390,0
9659,1644684787,11553511,0
8791,1644685246,849044832,849064217
3625,1644685303,849063938,0
4122,1644686677,849064134,0
6121,1644687538,11475491,849036824
2836,1644687802,848886984,0
7433,1644688490,11442303,0
951,1644689242,849062355,0
6502,1644689693,849049459,0
10300,1644690795,848942195,849065246
5804,1644691201,11198811,0
2006,1644693030,11016313,11407769
437,1644693204,849058499,0
8373,1644693237,11311972,849064661
7035,1644693827,849063959,849063079
3936,1644693851,11569121,11473722
9068,1644693880,849060384,849064834
1954,1644694179,229111,10768074
1123,1644695813,849063958,849041751
4063,1644698686,849064260,11505540
9111,1644699950,9945728,849064847
4523,1644699951,849046761,0
1762,1644700988,848954263,848993636
10274,1644703978,10288973,0
4451,1644704177,848908758,848907623
7268,1644704774,849062191,0
8824,1644705056,849064677,9778985
7803,1644706766,849062616,0
9760,1644707952,9319300,0
6855,1644708777,11085218,848925604
8061,1644709268,11471814,0
1722,1644709662,11512384,11326492
6440,1644710374,848962973,0
5915,1644710510,849064649,0
2128,1644711934,849040148,0
5458,1644712655,849064147,0
10293,1644713643,849061956,849065241
3339,1644716897,848966176,10441251
3456,1644717946,11558148,0
7886,1644719756,11588388,0
699,1644720133,2660422,0
2120,1644720246,848905866,848963535
4586,1644721496,849030979,0
8270,1644721843,11603924,10592820
8409,1644723502,849058256,11543124
9360,1644723623,849034104,0
706,1644725313,2223359,849001462
9643,1644725572,11445783,849064971
6252,1644725584,9294789,0
7686,1644727350,849044952,9447073
10315,1644728368,849064206,9874387
4946,1644729564,11461785,849046251
428,1644729588,849054711,0
4207,1644729588,849061157,0
6354,1644730069,11172404,0
8316,1644732723,849062500,0
1498,1644736009,9149805,0
6814,1644736273,849058668,11418451
7047,1644736825,849037788,11327186
6427,1644738157,849049295,11385549
5977,1644739799,849061334,849063993
6420,1644740289,11173166,4200494
858,1644742237,849056715,0
2136,1644744163,849058155,0
2599,1644744904,11330898,0
7398,1644745368,849000287,0
10453,1644745796,848989639,0
5324,1644746867,11509886,0
8184,1644747651,848997446,0
6335,1644748174,11311972,849032743
1759,1644748491,849063611,11491000
8861,1644749300,11490598,0
3811,1644750238,849059736,11455233
3010,1644751072,11260793,7714948
3585,1644751917,849052662,0
2804,1644754638,849062287,1359579
9130,1644756849,450223,0
