7297,darkx,0,1,21,253
198577,orsamannen,1270,1,241,172
241332,Peterale,660,1,89,223
267865,Sir+King+Arthur,34,1,82,225
275291,mustafa+kemal,0,0,0,279
410642,CABOKING,31,0,0,280
445112,Daredevil+MephistO,0,1,44,246
531357,gasetr,352,157,1284571,59
677298,Gelimar,34,1,121,211
747948,deomonkid18,1213,5,5729,105
794996,chelsea+shed,660,1,254,170
901054,Salidan1192,0,1,128,205
1043152,sendmeyourstuffnow,0,1,3396,110
1148929,happytolose,0,1,21,254
1160381,DaPinkMaster,22,1,221,185
1184981,MrTodd37,113,97,784438,66
1340513,I-AM-GROOT,467,462,5122889,24
1359579,getitfred,587,1,633,137
1591566,hdgraaf,807,1,42,249
1846025,Joe+2,81,0,0,281
1902556,pluta,0,1,785,131
1959156,Belgarth,72,1,4924,108
2024771,jimbo634,917,1,176,193
2330233,ic3princ3,0,2,4785,109
2356576,jontoh,467,467,5268201,19
2472169,Duellona,0,0,0,282
2473439,Elementals,352,217,2227696,50
2610884,rayearthm,0,1,21,255
2621510,No+Bo+Di,322,1,928,126
2624715,lchenao,0,1,76,226
2735260,returnofthelord,0,1,602,143
2969476,swarfie,0,1,21,256
3090165,jlarry,0,1,205,184
3504601,Red+Baron62,113,100,824232,65
3547911,TwistedxChick,55,1,1534,118
3589984,Lord+Vietras,55,1,606,141
3608690,Tecronos,0,0,0,283
3730885,bbop48,0,0,0,284
3749469,%3Farmy,628,1,685,135
3826500,bramley3,1261,1,639,136
3916550,Snuff1997,467,246,2353882,48
4015400,Pathfinder,1248,1,618,139
4103061,antonthemeff,0,0,0,285
4136278,Sir+Anthony+Raymond,0,1,227,181
4213549,lykorz,0,1,168,196
4215573,RONNY+HO,0,0,0,286
4417220,Godsmith2,0,1,288,163
4464143,dimitrisr,0,0,0,287
4483134,lamigra,1270,1,211,182
4490514,Legends+Never+DIE,352,101,1069967,61
4560143,Daddy+Ashen,467,565,6388279,7
4769603,alex55545,352,240,2599705,44
4835446,crawgator63,660,0,0,257
4923380,TrustMeImSleeping,467,506,5886931,13
4933528,sweetmisery,352,280,2749304,43
4943400,DonNorman,1214,1,285,165
7587840,lordjer61,660,1,125,207
7595395,ImLegend,1075,1,21,258
7688740,Snoopy+Lion,0,1,42,250
7709640,taw277,22,0,0,288
8008687,sirestoner,660,1,5046,106
8049221,georgia+83,352,222,2342664,49
8104989,crazedtwinkie,34,0,0,289
8145240,eddythead,0,0,0,290
8175891,BELI-GROM,0,0,0,291
8295281,JonnyBoy6969,0,1,175,194
8346072,ArthurDent33,322,1,372,154
8451898,dumbbeatnix,807,1,1201,123
8572750,litkafilip,352,150,1471542,57
8618219,NinJay,72,55,527550,70
8696897,anmy,322,2,7444,103
8708264,bond722002,485,1,546,145
8788848,wcc5403,1136,1,853,128
8863978,El+Grego+I,113,40,213944,79
8891413,dkforlife,0,0,0,292
8933139,LEE+THE+BATTLE+WARRIOR,322,1,1185,124
9073415,Blackcloud2,660,2,692,134
9074586,GlasgowRFC,44,1,148,201
9247761,HERCULES1966,44,0,0,293
9264537,pcsfari,0,1,776,132
9272899,Grelwinvulf,352,118,700720,67
9351988,chopperu,113,108,878906,63
9395007,bsjptpt,0,1,708,133
9497362,mallysmally,1152,1,73,232
9518719,marts4,0,0,0,294
9592666,CrohamHurst,34,1,352,156
9643866,ellene+01,352,52,431475,73
9670541,Dream%2A,38,56,576414,69
9715377,atilla,1273,1,95,220
9725990,whajen66,44,1,7739,102
9735896,Evil+Operation,38,554,6188110,9
9755423,RICH57,322,1,4937,107
9773949,King+Simi,44,1,125,208
9784553,a+the+great,209,1,835,129
9860898,TheOmegaPhoton,41,0,0,295
9880772,Warglaive+of+Azzinoth,352,148,1470041,56
9937811,legendofdark,0,1,185,189
10006413,Tegelen,322,1,1828,117
10074353,Nocturne,38,720,8502911,1
10094688,mordykauf,0,1,21,259
10106720,Molon+labe,352,325,3169173,40
10125449,boogs1,0,0,0,296
10146526,Hinwill,0,1,413,153
10181061,Tinglo,52,156,1505700,55
10206900,Hektik,38,305,2914355,42
10295407,queen+gorgo,0,1,163,198
10368269,Cool+Cool+Cool,38,628,6353828,8
10383482,THE+MURPH+ALL+CAPS,113,26,159363,80
10384611,Mata-Hari,660,1,72,233
10396534,Cortana.,0,1,72,234
10452473,PinkLisa,1200,1,330,159
10455020,dimness,0,1,48,243
10516819,general+saber,660,1,298,160
10518185,Red+Moses,352,373,3804287,32
10621950,drakelius,1270,1,229,175
10627241,SlackerJ,13,1,622,138
10628851,NonHaulFTW,0,0,0,297
10672399,stush6684,1270,1,288,164
10690393,STESHOT,730,1,3372,111
10745710,kpap,38,674,7052671,3
10746958,Toen,52,59,420223,74
10760295,qwertyu,660,1,112,215
10765552,Sir+Rossco,587,1,1293,122
10806170,Osama+bin+Farmin,0,0,0,298
10817917,CuddlyTeemo,0,1,21,260
10827033,egrob,52,33,275538,76
10828947,jonasnarvas,0,1,2960,112
10838089,Deathly+Bored,352,310,3309065,38
10940319,Sinful+Angel,467,569,6066062,11
10964115,Maple,38,471,4984640,26
10998291,moon777,1257,1,71,235
11018274,Dread+Doctors.,467,487,5305677,18
11029881,ssn2,0,1,178,192
11048056,Tukituki,660,1,272,168
11091730,weakness+disgusts+me,467,412,4582362,28
11112505,PurdueDragon,1270,1,290,162
11113475,mthomas70080,1264,1,275,167
11129135,Eakshow+McGee,38,534,5698876,16
11168411,dukeman,0,1,39,251
11173044,Superdog,467,496,5388536,17
11173069,kasmir11,392,1,166,197
11173388,Kanki,605,1,587,142
11199302,rycka1,44,1,44,247
11207522,eiouay,0,0,0,299
11213225,Say+Bye,0,1,21,261
11217090,Jonhil,1226,1,46,244
11219365,Wing,52,132,525596,71
