1,tony2,481,503,4648719,10016,0
2,Barbarian+village,530,491,3312792,1042,0
3,006+its+fine,516,509,10380592,5296,6
4,Barbarian+village,487,514,0,903,0
5,042,494,517,8844488,8500,0
6,009+1+minute+trains,528,500,849067789,1888,0
7,Villagio,493,521,848933363,4601,0
8,Ramuh,475,472,11496642,1678,0
9,B+005,491,531,849042146,9613,0
10,A+054,494,524,849042146,3246,0
11,tony2,488,513,4648719,5665,3
12,Mou+Gou+Army,501,517,9955948,7285,0
13,Barbarian+village,532,528,0,902,0
14,village+961,506,527,11457524,6442,0
15,Villa+007,542,465,849119395,2292,0
16,Oui+oui+farm,505,522,11457524,8455,0
17,Three+Doors+Down,457,522,9924450,5741,0
18,057,499,514,8844488,5327,0
19,Barbarian+village,445,514,0,912,0
20,052,494,520,8844488,9320,0
21,065+%7C+King+of+North,527,453,848891535,3158,0
22,Barbarian+village,491,516,0,919,0
23,083+Boggy+Creek,466,550,849022398,5627,0
24,Chrome+019,518,552,849117071,6324,2
25,A+035,489,521,849042146,4125,0
26,%5B016%5D,497,521,11457524,2158,0
27,Barbarian+village,490,518,0,619,0
28,Saki+Clan,503,519,9955948,5646,0
29,EKKEL+-+056,466,457,11521615,3405,0
30,gdlj027,460,531,849120117,11113,2
31,%5B010%5D,511,524,11457524,4185,0
32,A+044,491,521,849042146,7117,0
33,031+%7C+King+of+North,513,447,848891535,5221,0
34,W+village,543,469,11428619,8462,3
35,041+%7C+Storm,497,523,10005004,6958,0
36,AQD,457,477,849093623,943,0
37,A+015,484,519,849042146,10787,0
38,Barbarian+village,527,524,0,903,0
39,B+001,491,534,849042146,10761,0
40,005+K45+C0Ld,549,499,2977707,4030,0
41,RIP+MALUKU+2,505,498,849116145,10000,9
42,010%7C+Humilitas,502,473,849116120,10495,0
43,A+057,496,522,849042146,2155,0
44,Mega+Land,508,506,10380592,3843,6
45,081,499,480,8844488,11106,0
46,Flame+005+village,550,532,849088836,9979,0
47,RIP+Flobbe1122,509,479,849116145,9802,0
48,006+K55+C0Ld,549,500,2977707,4047,0
49,015+-+Neverwhere,507,470,848887790,7281,0
50,133+Boggy+Creek,495,544,849022398,2206,0
51,008+-+The+Name+of+the+Wind,501,467,848887790,8919,0
52,076,498,476,8844488,2894,0
53,021+-+Valdor,491,467,76535,1077,0
54,080+Boggy+Creek,470,527,849022398,6186,0
55,027%7C+Samuelis,504,469,849116120,8555,0
56,Barbarian+village,541,510,0,919,0
57,033+DOUGH,511,475,849116096,12154,0
58,Barbarian+village,490,485,0,910,0
59,001+CAGE,499,478,849116096,10007,0
60,Chrome+033,510,557,849117071,2629,0
61,45+POWER,467,499,1504759,9547,3
62,001%7C+Superbia,505,477,849116120,11130,0
63,Mittens+002,539,485,11430012,4338,0
64,023+DOUGH,497,475,849116096,10525,0
65,0059+%7E+Martial+Law,511,512,10380592,5572,0
66,I+will+not+be+patient+anymore,502,458,4592307,9014,0
67,Barbarian+village,527,546,0,922,0
68,037+Boggy+Creek,486,556,849022398,9058,7
69,%2ABONYC-A006,504,485,849093628,1125,0
70,Barbarian+village,501,555,0,932,0
71,008+The+Gates+Of+Hell,498,473,849123652,10495,0
72,pequenininha+ciMa,463,468,849057022,932,0
73,57+MAXIMUS,464,494,1504759,9754,2
74,Hobbit+HQ,507,477,849116145,10000,0
75,Barbarian+village,515,528,0,921,0
76,023%7C+Deuteronomium,505,468,849116120,10495,0
77,007,468,469,849113165,2341,0
78,85+PRIME,503,467,1504759,10495,0
79,%2ANoble+45,531,451,849040769,6260,0
80,Rajasit%2A+%2A+%40+0005,557,504,11413982,10787,4
81,EKKEL+-+018,519,483,11521615,10495,0
82,Barbarian+village,490,474,0,909,0
83,War+Never+Changes,441,502,3164027,10544,8
84,019+DOUGH,520,480,849116096,9149,0
85,B+004,493,531,849042146,7955,0
86,008,486,469,8844488,10290,0
87,004+Milan,484,476,3048355,9331,0
88,Noble+Savages,458,525,11375052,7705,0
89,008,477,461,849100573,9718,0
90,Adams+village,455,516,849120297,4924,0
91,005+Boggy+Creek,479,553,849022398,10291,1
92,005+-+A+Wrinkle+In+Time,498,462,848887790,10226,0
93,Barbarian+village,524,537,0,933,0
94,005+%7C+Noob+Removal+Service%21,487,546,11581204,10323,9
95,002,487,477,8844488,10337,0
96,pequenerima,473,493,849057022,1298,0
97,042,481,532,11140984,10237,5
98,RIP+Bappe+%2F+The+Forest+of+Valor,494,470,849116145,10000,0
99,Kilo,526,494,1707285,2186,0
100,008+critical,540,535,849112260,10495,1
101,10+POWER,482,476,1504759,9771,0
102,027+%7C%7C+28901234567,542,537,10051909,2188,0
103,022,498,484,8844488,10282,0
104,Barbarian+village,524,534,0,923,0
105,62+San+snusfransisco,504,463,1504759,8328,0
106,022+%7C%7C+2345678901,529,501,10051909,7743,0
107,08+TwitchTV%3A+Jhindisel,527,466,849119929,2840,4
108,I+will+not+be+patient+anymore,505,461,4592307,7759,0
109,Catflap76+008,467,496,11532585,4080,0
110,W+village,546,471,11428619,1811,3
111,035,486,459,3834751,8906,0
112,%7B10%7D+Linksys,542,526,4052531,9902,0
113,EKKEL+-+012,473,464,11521615,10495,0
114,002+-+Ancient+Terra,490,465,76535,9735,0
115,Barbarian+village,453,508,11125816,7989,0
116,Gyarah,489,467,849115373,3055,0
117,011.+Varberg,521,487,849095621,3737,0
118,44.013+Rapa+Nui,485,461,2307938,1885,0
119,Barbarian+village,454,479,0,903,0
120,54+POWER,466,521,1504759,10950,5
121,Barah%3A,496,462,849115373,1988,0
122,gdlj036,468,548,849120117,3315,0
123,008+-+Rhino,484,466,76535,9735,0
124,Raam%3A,482,484,849115373,9978,4
125,village+Kabul,474,471,849063621,514,0
126,MinasTirith+13,556,508,11451887,1510,0
127,0012_eVenDeMaTa,538,503,848943492,10311,1
128,PLAYLOTE,490,450,11348193,9211,0
129,PLAYNOTE,492,445,11348193,7266,0
130,007+-+Kaboom,480,465,3834751,9749,0
131,I+will+not+be+patient+anymore,509,463,4592307,9810,9
132,RIP+AbnormaL,510,478,849116145,10000,0
133,Barbarian+village,479,504,4648719,2405,0
134,017,429,535,9808581,8910,0
135,090+%7C+King+of+North,513,459,848891535,5673,0
136,004%7C+Gula,506,475,849116120,10559,0
137,Barbarian+village,538,523,0,932,0
138,30+POWER,472,501,1504759,9797,2
139,015,432,534,9808581,10237,0
140,Barbarian+village,492,486,0,927,0
141,really%3F+think+again+%3A%29,495,447,848995771,8694,8
142,Barbarian+village,512,487,0,901,0
143,Orcadia,556,521,849072851,6169,0
144,004+Boggy+Creek,481,555,849022398,10291,8
145,tony2,475,505,4648719,10495,0
146,Barbarian+village,505,488,0,922,0
147,A+033,486,520,849042146,4792,6
148,0027+%7E+Martial+Law,574,531,10380592,10223,0
149,-012-,518,467,848909926,5165,0
150,Fakes+Only,577,527,1427030,10487,0
151,WideStones+village+006,467,468,849057022,5129,5
152,04+JFF,440,452,849063968,10083,0
153,Catflap76,472,499,11532585,1042,0
154,020+Mario,530,516,11569967,10000,0
155,Barbarian+village,490,488,0,902,0
156,mega+village,501,523,11457524,1199,0
157,Barbarian+village,524,478,0,906,0
158,Barbarian+village,523,521,0,909,0
